"aahed,0.0000000148255"
"aalii,0.000000000643369"
"aapas,0.000000000320184"
"aargh,0.00000000227397"
"aarti,0.00000000539611"
"abaca,0.000000144131"
"abaci,0.0000000291045"
"aback,0.0000009348"
"abacs,0.00000000101854"
"abaft,0.000000200723"
"abaht,0.0000000115732"
"abaka,0.00000000103725"
"abamp,0.000000000683668"
"aband,0.0000000181041"
"abase,0.0000000921725"
"abash,0.0000000317421"
"abask,0.000000000176726"
"abate,0.00000153374"
"abaya,0.0000000169519"
"abbas,0.0000000489534"
"abbed,0.00000000112063"
"abbes,0.000000011692"
"abbey,0.00000202411"
"abbot,0.00000214039"
"abcee,0.000000000136609"
"abeam,0.000000100203"
"abear,0.00000000933644"
"abeat,0.00000000337219"
"abeer,0.00000000134304"
"abele,0.00000000411605"
"abeng,0.00000000178393"
"abers,0.00000000197687"
"abets,0.000000119821"
"abeys,0.000000000129167"
"abhor,0.000000567927"
"abide,0.00000436668"
"abies,0.00000012772"
"abius,0.00000000156895"
"abjad,0.00000000441943"
"abjud,Missing[NotAvailable]"
"abled,0.0000000846074"
"abler,0.000000243167"
"ables,0.000000106961"
"ablet,0.00000000395344"
"ablow,0.00000000431658"
"abmho,0.000000000407476"
"abnet,0.000000000374959"
"abode,0.00000386656"
"abohm,0.000000000887006"
"aboil,0.00000000516137"
"aboma,0.000000000884864"
"aboon,0.0000000281147"
"abord,0.0000000714939"
"abore,0.0000000394643"
"aborn,0.000000000888241"
"abort,0.000000594533"
"about,0.000988835"
"above,0.000280052"
"abram,0.00000000684982"
"abray,0.000000000343178"
"abrim,0.00000000306825"
"abrin,0.0000000175739"
"abris,0.00000000417289"
"absey,0.000000000475749"
"absit,0.0000000166737"
"abuna,0.00000000463398"
"abune,0.0000000136988"
"abura,0.00000000389638"
"aburn,0.000000000491896"
"abuse,0.0000257216"
"abuts,0.000000254877"
"abuzz,0.0000000585803"
"abyes,0.000000000177978"
"abysm,0.0000000232644"
"abyss,0.00000176845"
"acais,0.000000000330226"
"acara,0.00000000564138"
"acari,0.0000000198143"
"accas,0.000000000673183"
"accha,0.00000000244069"
"accoy,0.00000000026901"
"accra,0.00000000330818"
"acedy,0.000000000338622"
"acene,0.00000000405914"
"acerb,0.00000000745747"
"acers,0.0000000113087"
"aceta,0.00000000330531"
"achar,0.00000000842992"
"ached,0.00000125552"
"acher,0.0000000125751"
"aches,0.000000810138"
"achey,0.00000000231176"
"achoo,0.00000000231381"
"acids,0.0000202279"
"acidy,0.00000000580304"
"acies,0.0000000347748"
"acing,0.0000000296085"
"acini,0.000000200213"
"ackee,0.0000000129652"
"acker,0.000000018748"
"acmes,0.00000000267569"
"acmic,0.000000000498644"
"acned,0.00000000366724"
"acnes,0.0000000486697"
"acock,0.0000000036223"
"acoel,0.00000000322118"
"acold,0.00000000469421"
"acone,0.00000000165559"
"acorn,0.000000488927"
"acral,0.0000000314754"
"acred,0.0000000195295"
"acres,0.000043168"
"acrid,0.00000070628"
"acron,0.00000000518207"
"acros,0.0000000316677"
"acryl,0.0000000165756"
"actas,0.0000000138692"
"acted,0.0000224602"
"actin,0.0000014829"
"acton,0.0000000279844"
"actor,0.0000098911"
"actus,0.000000218103"
"acute,0.000026595"
"acyls,0.00000000287615"
"adage,0.000000758717"
"adapt,0.00000673097"
"adats,0.00000000165264"
"adawn,0.000000000151484"
"adaws,0.000000000125855"
"adays,0.0000000332844"
"adbot,0.000000000142899"
"addas,0.00000000326952"
"addax,0.00000000750099"
"added,0.000113133"
"adder,0.000000555873"
"addin,0.0000000279124"
"addio,0.0000000115834"
"addle,0.0000000433954"
"addra,0.000000000777935"
"adead,0.0000000026775"
"adeem,0.00000000474705"
"adept,0.00000140932"
"adhan,0.00000000894168"
"adhoc,0.0000000408373"
"adieu,0.000000710176"
"adios,0.0000000239278"
"adits,0.000000124227"
"adlib,0.00000000347124"
"adman,0.000000027427"
"admen,0.0000000199953"
"admin,0.000000833169"
"admit,0.0000256365"
"admix,0.000000017075"
"adnex,0.000000000922419"
"adobe,0.000000826063"
"adobo,0.0000000273352"
"adoon,0.000000000595754"
"adopt,0.0000224539"
"adorb,0.000000000135068"
"adore,0.0000013532"
"adorn,0.00000141946"
"adown,0.000000108243"
"adoze,0.000000000413306"
"adrad,0.00000000313097"
"adraw,0.000000000548213"
"adred,0.0000000016555"
"adret,0.00000000143288"
"adrip,0.00000000228407"
"adsum,0.00000000544452"
"aduki,0.00000000399973"
"adult,0.0000352473"
"adunc,0.000000000394615"
"adust,0.0000000175981"
"advew,0.000000000112407"
"advts,0.0000000252587"
"adyta,0.00000000364125"
"adyts,0.000000000383136"
"adzed,0.0000000147905"
"adzes,0.000000120971"
"aecia,0.0000000368753"
"aedes,0.0000000259854"
"aeger,0.0000000119847"
"aegis,0.000000755972"
"aeons,0.000000161081"
"aerie,0.0000000430581"
"aeros,0.00000000570378"
"aesir,0.00000000144883"
"aevum,0.0000000135658"
"afald,0.000000000754479"
"afanc,0.00000000178417"
"afara,0.00000000203899"
"afars,0.000000000339362"
"afear,0.00000000176"
"affix,0.0000009154"
"affly,0.00000000990116"
"afion,0.00000000201184"
"afire,0.000000311371"
"afizz,0.000000000112757"
"aflaj,0.00000000256352"
"aflap,0.000000000659953"
"aflow,0.00000000404954"
"afoam,0.0000000022884"
"afoot,0.000000698031"
"afore,0.00000109937"
"afoul,0.000000286726"
"afret,0.00000000084535"
"afrit,0.00000000393831"
"afros,0.00000000452413"
"after,0.000641221"
"aftos,0.00000000138123"
"again,0.000256395"
"agals,0.000000000440062"
"agama,0.000000027776"
"agami,0.00000000289858"
"agamy,0.000000000866921"
"agape,0.000000325656"
"agars,0.0000000289631"
"agasp,0.000000000783438"
"agast,0.0000000111847"
"agate,0.000000600712"
"agaty,0.000000000213664"
"agave,0.000000159195"
"agaze,0.00000000290698"
"agbas,0.000000000092993"
"agene,0.00000000740656"
"agent,0.000060683"
"agers,0.000000317151"
"aggag,0.000000000316516"
"agger,0.0000000431428"
"aggie,0.0000000100255"
"aggri,0.000000000491672"
"aggro,0.0000000181275"
"aggry,0.00000000135762"
"aghas,0.0000000095236"
"agidi,0.00000000107293"
"agila,0.0000000013674"
"agile,0.000000908594"
"aging,0.00000796323"
"agios,0.00000000359375"
"agism,0.00000000420094"
"agist,0.00000000598438"
"agita,0.000000018984"
"aglee,0.00000000325629"
"aglet,0.00000000589712"
"agley,0.0000000117702"
"agloo,0.000000000181766"
"aglow,0.000000292193"
"aglus,0.000000000304"
"agmas,0.000000000201069"
"agoge,0.00000000564456"
"agogo,0.00000000377008"
"agone,0.0000000816774"
"agons,0.00000000587251"
"agony,0.00000436667"
