"tribe,0.0000131707"
"trice,0.000000168082"
"trick,0.00000625396"
"tride,0.0000000144602"
"tried,0.0000716741"
"trier,0.000000706786"
"tries,0.00000908226"
"trifa,0.000000000289478"
"triff,0.000000000615698"
"trigo,0.0000000198108"
"trigs,0.00000000267214"
"trike,0.0000000315272"
"trild,0.000000000838196"
"trill,0.000000340486"
"trims,0.000000198975"
"trine,0.000000160983"
"trins,0.00000000255703"
"triol,0.0000000417442"
"trior,0.0000000096489"
"trios,0.000000216711"
"tripe,0.000000209979"
"trips,0.00000943153"
"tripy,0.000000000505092"
"trist,0.0000000169262"
"trite,0.000000641166"
"troad,0.00000000207118"
"troak,0.000000000169763"
"troat,0.00000000420347"
"trock,0.0000000049585"
"trode,0.0000000790567"
"trods,0.00000000321575"
"trogs,0.00000000411066"
"trois,0.000000315125"
"troke,0.00000000433134"
"troll,0.000000360914"
"tromp,0.0000000186364"
"trona,0.0000000630147"
"tronc,0.0000000099983"
"trone,0.0000000158611"
"tronk,0.00000000378616"
"trons,0.0000000483589"
"troop,0.00000367865"
"trooz,0.000000000156521"
"trope,0.000000575297"
"tropo,0.0000000128935"
"troth,0.000000343868"
"trots,0.000000138377"
"trout,0.00000640472"
"trove,0.000000311185"
"trows,0.00000000934724"
"troys,0.0000000050262"
"truce,0.00000219461"
"truck,0.0000216108"
"trued,0.0000000462819"
"truer,0.0000011034"
"trues,0.0000000116102"
"trugo,0.000000000191949"
"trugs,0.00000000199967"
"trull,0.0000000198091"
"truly,0.0000319643"
"trump,0.000000796955"
"trunk,0.0000113325"
"truss,0.00000162472"
"trust,0.0000703826"
"truth,0.0000797959"
"tryer,0.00000000544974"
"tryke,0.000000000414581"
"tryma,0.000000000314251"
"tryps,0.0000000028813"
"tryst,0.000000188763"
"tsade,0.00000000164831"
"tsadi,0.000000000772049"
"tsars,0.0000000809027"
"tsked,0.0000000305017"
"tsuba,0.0000000122752"
"tsubo,0.0000000310487"
"tuans,0.0000000013337"
"tuart,0.00000000773726"
"tuath,0.0000000119706"
"tubae,0.0000000102225"
"tubal,0.000000497155"
"tubar,0.000000002886"
"tubas,0.0000000413225"
"tubby,0.0000000459926"
"tubed,0.0000000783366"
"tuber,0.000000931495"
"tubes,0.0000177396"
"tucks,0.000000200805"
"tufas,0.0000000179681"
"tuffe,0.000000000943885"
"tuffs,0.000000498365"
"tufts,0.00000111906"
"tufty,0.0000000175412"
"tugra,0.00000000217389"
"tuile,0.00000000497099"
"tuina,0.0000000018314"
"tuism,0.00000000135574"
"tuktu,0.000000000663541"
"tules,0.000000042895"
"tulip,0.000000519011"
"tulle,0.00000017536"
