"bomor,0.00000000128924"
"bonce,0.00000000582853"
"bonds,0.0000543367"
"boned,0.000000476895"
"boner,0.0000000515175"
"bones,0.000017812"
"boney,0.0000000345674"
"bongo,0.0000000577882"
"bongs,0.0000000125898"
"bonie,0.0000000204302"
"bonks,0.0000000276336"
"bonne,0.000000236475"
"bonny,0.00000032214"
"bonum,0.00000025816"
"bonus,0.00000650128"
"bonza,0.00000000166841"
"bonze,0.0000000238409"
"booai,0.000000000127064"
"booay,0.000000000240172"
"boobs,0.000000190293"
"booby,0.000000322571"
"boody,0.00000000178704"
"booed,0.000000108913"
"boofy,0.000000000702983"
"boogy,0.00000000207926"
"boohs,0.0000000127871"
"books,0.0000974949"
"booky,0.00000000425827"
"bools,0.00000000497734"
"booms,0.000000895401"
"boomy,0.00000000952731"
"boong,0.00000000308788"
"boons,0.00000013238"
"boord,0.0000000346343"
"boors,0.0000000946499"
"boose,0.0000000134995"
"boost,0.00000399687"
"booth,0.00000269475"
"boots,0.0000081162"
"booty,0.00000120114"
"booze,0.000000632269"
"boozy,0.0000000563373"
"boppy,0.00000000157901"
"borak,0.00000000232269"
"boral,0.0000000044344"
"boras,0.00000000515287"
"borax,0.000000827377"
"borde,0.0000000330596"
"bords,0.0000000430806"
"bored,0.0000043188"
"boree,0.00000000305106"
"borek,0.00000000219733"
"borel,0.00000000363794"
"borer,0.00000113413"
"bores,0.000000899178"
"borgo,0.0000000060686"
"boric,0.00000075011"
"borks,0.000000000459531"
"borms,0.000000000178484"
"borna,0.00000000214831"
"borne,0.0000171749"
"boron,0.00000244689"
"borts,0.00000000240985"
"borty,0.000000000509073"
"bortz,0.00000000256296"
"bosey,0.000000000276093"
"bosie,0.000000000629156"
"bosks,0.00000000189199"
"bosky,0.000000036198"
"bosom,0.00000538203"
"boson,0.000000443307"
"bossa,0.0000000367704"
"bossy,0.000000220027"
"bosun,0.0000000736698"
"botas,0.00000000684405"
"botch,0.0000000749599"
"boteh,0.00000000292109"
"botel,0.00000000559489"
"botes,0.000000011792"
"botew,Missing[NotAvailable]"
"bothy,0.0000000480465"
"botos,0.0000000018392"
"botte,0.0000000128178"
"botts,0.00000000607485"
"botty,0.00000000219178"
"bouge,0.0000000071026"
"bough,0.00000071429"
"bouks,0.00000000176781"
"boule,0.0000000806755"
"boult,0.00000000385354"
"bound,0.0000544713"
"bouns,0.00000000147047"
"bourd,0.00000000888672"
"bourg,0.0000000488333"
"bourn,0.0000000603918"
"bouse,0.000000230288"
"bousy,0.000000000605812"
"bouts,0.000000755637"
"boutu,0.000000000514646"
"bovid,0.0000000232944"
"bowat,0.000000000249037"
"bowed,0.00000527959"
"bowel,0.00000425152"
