"debye,0.0000000128614"
"decad,0.0000000310975"
"decaf,0.0000000485739"
"decal,0.000000137693"
"decan,0.0000000148752"
"decay,0.0000134512"
"decim,0.0000000060593"
"decko,0.000000000795182"
"decks,0.0000023471"
"decor,0.000000978898"
"decos,0.000000000508913"
"decoy,0.000000474231"
"decry,0.000000324705"
"decyl,0.0000000309679"
"dedal,0.00000000124854"
"deeds,0.0000123339"
"deedy,0.00000000188314"
"deely,0.000000000828242"
"deems,0.00000341306"
"deens,0.00000000111537"
"deeps,0.000000313203"
"deere,0.0000000690392"
"deers,0.0000000299622"
"deets,0.00000000333062"
"deeve,0.000000000799257"
"deevs,0.000000000651407"
"defat,0.00000000328582"
"defer,0.00000264799"
"deffo,0.00000000125948"
"defis,0.00000000287905"
"defog,0.00000000345835"
"degas,0.0000000200438"
"degum,0.00000000118139"
"degus,0.00000000772904"
"deice,0.0000000061355"
"deids,0.00000000104202"
"deify,0.0000000703084"
"deign,0.000000355619"
"deils,0.00000000336941"
"deink,0.00000000397049"
"deism,0.00000014904"
"deist,0.0000000893477"
"deity,0.00000362339"
"deked,0.00000000154708"
"dekes,0.00000000135653"
"dekko,0.00000000416844"
"delay,0.000032789"
"deled,0.00000000739581"
"deles,0.00000001537"
"delfs,0.000000000682947"
"delft,0.000000031685"
"delis,0.0000000360589"
"della,0.00000310749"
"dells,0.000000120664"
"delly,0.00000000133023"
"delos,0.0000000125135"
"delph,0.00000000663797"
"delta,0.00000397401"
"delts,0.00000000467046"
"delve,0.000000620262"
"deman,0.0000000454547"
"demes,0.0000000741876"
"demic,0.0000000694312"
"demit,0.0000000196475"
"demob,0.0000000119854"
"demoi,0.00000000839601"
"demon,0.00000340335"
"demos,0.000000275767"
"demot,0.0000000013146"
"dempt,0.00000000160859"
"demur,0.000000475275"
"denar,NA"
"denay,0.00000000274263"
"dench,0.000000000420739"
"denes,0.0000000114432"
"denet,0.000000000280635"
"denim,0.000000525592"
"denis,0.0000000127548"
"dense,0.000012336"
"dente,0.0000000922379"
"dents,0.00000069113"
"deoch,0.00000000236068"
"deoxy,0.000000249102"
"depot,0.00000413869"
"depth,0.0000483886"
"derat,0.00000000240013"
"deray,0.00000000336015"
"derby,0.000000211044"
"dered,0.000000388679"
"deres,0.000000059673"
"derig,0.000000000451322"
"derma,0.0000000553719"
"derms,0.00000000249817"
"derns,0.00000000105879"
"derny,0.000000000524365"
"deros,0.00000000178144"
"derpy,0.000000000599479"
"derro,0.00000000115075"
"derry,0.0000000284033"
"derth,0.00000000410926"
"dervs,0.000000000102961"
"desex,0.00000000118586"
"deshi,0.0000000130734"
"desis,0.00000000792634"
"desks,0.00000244219"
"desse,0.0000000105815"
"detag,0.000000000175292"
"deter,0.00000341172"
"detox,0.000000123669"
"deuce,0.000000396687"
"devas,0.000000116698"
"devel,0.000000593254"
"devil,0.00000984519"
"devis,0.0000000152031"
"devon,0.00000000566461"
"devos,0.00000000154083"
"devot,0.0000000145386"
"dewan,0.0000000204762"
"dewar,0.000000101554"
"dewax,0.00000000188924"
"dewed,0.0000000175761"
"dexes,0.00000000906738"
"dexie,0.000000000256408"
"dexys,0.000000000143859"
"dhaba,0.00000000771954"
"dhaks,0.000000000253345"
"dhals,0.00000000185546"
"dhikr,0.0000000500182"
