"frore,0.00000000772568"
"frorn,0.0000000816328"
"frory,0.000000000416336"
"frosh,0.0000000438594"
"frost,0.00000594732"
"froth,0.000000780311"
"frown,0.00000233667"
"frows,0.00000000218731"
"frowy,0.000000000604445"
"froyo,0.00000000119675"
"froze,0.0000019842"
"frugs,0.000000000406723"
"fruit,0.0000412558"
"frump,0.0000000179026"
"frush,0.00000000249541"
"frust,0.0000000124488"
"fryer,0.000000136799"
"fubar,0.00000000169342"
"fubby,0.000000000223424"
"fubsy,0.00000000208748"
"fucks,0.0000000995676"
"fucus,0.0000000221566"
"fuddy,0.0000000243623"
"fudge,0.000000334622"
"fudgy,0.00000000828934"
"fuels,0.00000805384"
"fuero,0.0000000210159"
"fuffs,0.000000000242766"
"fuffy,0.000000000401357"
"fugal,0.0000000875617"
"fuggy,0.00000000483051"
"fugie,0.000000000825741"
"fugio,0.00000000376768"
"fugis,0.00000000276075"
"fugle,0.00000000293157"
"fugly,0.00000000366032"
"fugue,0.000000448333"
"fugus,0.000000000773252"
"fujis,0.000000000228904"
"fulla,0.0000000120899"
"fulls,0.0000000289753"
"fully,0.0000802887"
"fulth,0.000000000403768"
"fulwa,0.000000000171543"
"fumed,0.000000316718"
"fumer,0.00000000570076"
"fumes,0.00000262253"
"fumet,0.00000000678987"
"funda,0.000000136573"
"fundi,0.0000000995615"
"fundo,0.0000000302352"
"funds,0.0000913158"
"fundy,0.00000000119852"
"fungi,0.00000477899"
"fungo,0.00000000784837"
"fungs,0.00000000125586"
"funic,0.00000000455271"
"funis,0.0000000399818"
"funks,0.00000000705644"
"funky,0.000000262912"
"funny,0.00000754995"
"funsy,0.000000000311342"
"funts,0.00000000222684"
"fural,0.00000000232994"
"furan,0.000000175246"
"furca,0.0000000571212"
"furls,0.00000000979547"
"furol,0.00000000176371"
"furor,0.000000328295"
"furos,0.00000000119225"
"furrs,0.00000000737829"
"furry,0.000000488813"
"furth,0.000000155738"
"furze,0.000000213799"
"furzy,0.00000000818392"
"fused,0.00000425181"
"fusee,0.0000000716438"
"fusel,0.0000000849334"
"fuses,0.00000134651"
"fusil,0.0000000272909"
"fusks,0.000000000156223"
"fussy,0.000000474218"
"fusts,0.00000000140064"
"fusty,0.000000051151"
"futon,0.0000000862657"
"fuzed,0.0000000168604"
"fuzee,0.00000000448971"
"fuzes,0.000000116707"
"fuzil,0.000000000491599"
"fuzzy,0.00000349438"
"fyces,0.000000000180799"
"fyked,0.000000000138796"
"fykes,0.00000000534129"
"fyles,0.00000000200889"
"fyrds,0.000000000800304"
"fytte,0.00000000433115"
"gabba,0.00000000242513"
"gabby,0.0000000131117"
"gable,0.00000084175"
"gaddi,0.0000000183805"
"gades,0.00000000533635"
"gadge,0.00000000162278"
"gadgy,0.000000000195661"
"gadid,0.00000000314665"
"gadis,0.00000000529593"
"gadje,0.00000000595911"
"gadjo,0.00000000363189"
"gadso,0.000000000322415"
"gaffe,0.0000000661192"
"gaffs,0.0000000309973"
"gaged,0.000000252458"
"gager,0.00000000729253"
"gages,0.00000125363"
"gaids,0.000000000198708"
"gaily,0.00000105885"
"gains,0.0000176813"
"gairs,0.000000000751274"
"gaita,0.00000000517609"
"gaits,0.000000102317"
"gaitt,0.00000000132473"
"gajos,0.000000000594936"
"galah,0.00000000774228"
"galas,0.0000000374205"
"galax,0.00000000823243"
"galea,0.0000000801692"
"galed,0.00000000270846"
"gales,0.000000837154"
"galia,0.00000000253135"
"galis,0.00000000311626"
"galls,0.000000873874"
"gally,0.0000000233057"
"galop,0.0000000256362"
"galut,0.0000000143813"
"galvo,0.00000000448053"
"gamas,0.00000000192444"
"gamay,0.00000000318733"
"gamba,0.000000085575"
"gambe,0.00000000587063"
"gambo,0.00000000326424"
"gambs,0.00000000129447"
"gamed,0.000000038441"
"gamer,0.0000000756789"
"games,0.000017808"
"gamey,0.000000030949"
"gamic,0.00000000400565"
"gamin,0.0000000437661"
"gamma,0.00000597485"
"gamme,0.00000000845732"
"gammy,0.0000000077105"
"gamps,0.000000000930337"
"gamut,0.000000810844"
"ganch,0.000000000930528"
"gandy,0.00000000772964"
"ganef,0.00000000132748"
"ganev,0.000000000465106"
"gangs,0.00000228528"
"ganja,0.000000117131"
"ganks,0.000000000667519"
"ganof,0.000000000179382"
"gants,0.0000000113167"
"gaols,0.000000229478"
"gaped,0.000000482454"
"gaper,0.00000000880928"
"gapes,0.0000000871256"
"gapos,0.00000000053018"
"gappy,0.000000014346"
"garam,0.00000004534"
"garba,0.00000000511349"
"garbe,0.00000000337107"
"garbo,0.00000000424917"
"garbs,0.0000000496716"
"garda,0.0000000205274"
"garde,0.00000142496"
"gares,0.00000000431793"
"garis,0.0000000072835"
"garms,0.000000000727397"
"garni,0.0000000545756"
"garre,0.00000000133472"
"garri,0.0000000182235"
"garth,0.0000000572268"
"garum,0.000000016031"
"gases,0.0000144939"
"gashy,0.000000000288194"
"gasps,0.000000541543"
"gaspy,0.00000000278155"
"gassy,0.000000124678"
"gasts,0.000000000982846"
"gatch,0.00000000419574"
"gated,0.000000965608"
"gater,0.00000000344037"
"gates,0.0000111049"
"gaths,0.000000000523144"
"gator,0.0000000809628"
"gauch,0.000000000796367"
"gaucy,0.000000000599538"
"gauds,0.000000028231"
"gaudy,0.000000800813"
"gauge,0.0000101553"
"gauje,0.000000000400042"
"gault,0.0000000202761"
"gaums,0.000000000808909"
"gaumy,0.000000000208606"
"gaunt,0.000000875534"
"gaups,0.000000000142636"
"gaurs,0.00000000196767"
"gauss,0.000000274823"
"gauze,0.00000211049"
"gauzy,0.000000145702"
"gavel,0.000000394861"
"gavot,0.00000000115588"
"gawcy,0.000000000336737"
"gawds,0.0000000047585"
"gawks,0.00000000657714"
"gawky,0.0000000872969"
"gawps,0.00000000179196"
"gawsy,0.000000000439766"
"gayal,0.00000000505346"
"gayer,0.000000137226"
"gayly,0.00000026209"
"gazal,0.00000000303995"
"gazar,0.0000000016703"
"gazed,0.0000046115"
"gazer,0.0000000822921"
"gazes,0.000000714652"
"gazon,0.00000000404506"
"gazoo,0.000000000941655"
"geals,0.00000000158878"
"geans,0.0000000014685"
"geare,0.0000000142968"
"gears,0.00000368841"
"geasa,0.00000000527222"
"geats,0.000000000822416"
"gebur,0.00000000341022"
"gecko,0.0000000983733"
"gecks,0.000000000228032"
"geeks,0.0000000853058"
"geeky,0.0000000547745"
"geeps,0.00000000081415"
"geese,0.00000216055"
"geest,0.0000000142099"
"geist,0.0000000164642"
"geits,0.000000000189294"
"gelds,0.00000000331208"
"gelee,0.0000000048688"
"gelid,0.00000002431"
"gelly,0.00000000474742"
"gelts,0.00000000077883"
"gemel,0.00000000248447"
"gemma,0.0000000412779"
"gemmy,0.0000000057204"
"gemot,0.0000000137973"
"genae,0.0000000617268"
"genal,0.000000084472"
"genas,0.00000000797289"
"genes,0.0000124985"
"genet,0.0000000731847"
"genic,0.0000000978449"
"genie,0.000000299485"
"genii,0.000000227573"
"genin,0.00000000781951"
"genio,0.0000000359216"
"genip,0.00000000158031"
"genny,0.00000000233865"
"genoa,0.0000000226666"
"genom,0.0000000242769"
"genre,0.00000542528"
"genro,0.0000000101276"
"gents,0.000000273882"
"genty,0.00000000219309"
"genua,0.000000027312"
"genus,0.0000134465"
"geode,0.00000002705"
"geoid,0.000000172104"
"gerah,0.00000000255986"
"gerbe,0.00000000533427"
"geres,0.00000000231494"
"gerle,0.000000000975693"
"germs,0.00000256845"
"germy,0.00000000398483"
"gerne,0.0000000155869"
"gesse,0.000000021522"
"gesso,0.0000000965194"
"geste,0.000000105317"
"gests,0.0000000758477"
"getas,0.00000000232091"
"getup,0.000000046858"
"geums,0.00000000129739"
"geyan,0.00000000139311"
"geyer,0.00000000155878"
"ghast,0.00000000632479"
"ghats,0.0000000785425"
"ghaut,0.0000000174357"
"ghazi,0.00000000998945"
"ghees,0.00000000147828"
"ghest,0.000000011616"
"ghost,0.00000583989"
"ghoul,0.000000101426"
