"slues,0.0000000140203"
"sluff,0.00000000684744"
"slugs,0.000000703618"
"sluit,0.0000000127813"
"slump,0.00000147638"
"slums,0.00000153537"
"slung,0.00000118918"
"slunk,0.000000268909"
"slurb,0.00000000137128"
"slurp,0.0000000631793"
"slurs,0.00000022115"
"sluse,0.000000000612914"
"slush,0.000000448506"
"sluts,0.0000000602213"
"slyer,0.00000000516519"
"slyly,0.000000389127"
"slype,0.00000000554473"
"smaak,0.0000000031618"
"smack,0.000000913657"
"smaik,0.000000000857452"
"small,0.000332485"
"smalm,0.000000000201735"
"smalt,0.0000000524933"
"smarm,0.00000000402817"
"smart,0.00000829925"
"smash,0.00000122302"
"smaze,0.0000000011915"
"smear,0.00000149811"
"smeek,0.00000000139379"
"smees,0.000000000198045"
"smeik,0.000000000189754"
"smeke,0.000000000519854"
"smell,0.0000121063"
"smelt,0.00000100968"
"smerk,0.000000000275778"
"smews,0.00000000110735"
"smick,0.00000000061211"
"smile,0.0000304689"
"smily,0.00000000209544"
"smirk,0.000000611295"
"smirr,0.00000000108153"
"smirs,0.000000000140751"
"smite,0.000000586397"
"smith,0.000000975624"
"smits,0.00000000125999"
"smize,0.000000000346355"
"smock,0.000000295576"
"smogs,0.0000000132861"
"smoke,0.0000196883"
"smoko,0.0000000145749"
"smoky,0.00000123282"
"smolt,0.000000117231"
"smoor,0.00000000212736"
"smoot,0.0000000112202"
"smore,0.00000000439417"
"smorg,0.00000000027679"
"smote,0.000000988205"
"smout,0.00000000224528"
"smowt,0.0000000000986066"
"smugs,0.0000000011682"
"smurs,0.000000000326353"
"smush,0.00000000330525"
"smuts,0.0000000899732"
"snabs,0.000000000179248"
"snack,0.0000014626"
"snafu,0.0000000264324"
"snags,0.000000625635"
"snail,0.00000147543"
"snake,0.00000560822"
"snaky,0.0000000895451"
"snaps,0.000000715445"
"snare,0.00000131712"
"snarf,0.00000000299017"
"snark,0.0000000209124"
"snarl,0.000000472061"
"snars,0.000000000485313"
"snary,0.000000000570278"
"snash,0.000000000883491"
"snath,0.0000000070969"
"snaws,0.00000000158957"
"snead,0.00000000120653"
"sneak,0.00000133829"
"sneap,0.00000000126712"
"snebs,Missing[NotAvailable]"
"sneck,0.00000000778887"
"sneds,0.000000000472242"
"sneed,0.00000000412745"
"sneer,0.00000107684"
"snees,0.000000000332556"
"snell,0.0000000160246"
"snibs,0.000000000518904"
"snick,0.0000000309438"
"snide,0.000000145842"
"snied,0.000000000852816"
"snies,0.000000000673154"
"sniff,0.000000694253"
"snift,0.00000000347333"
"snigs,0.000000000470758"
"snipe,0.000000394695"
"snips,0.000000100732"
"snipy,0.00000000194761"
"snirt,0.000000000971213"
"snits,0.00000000461485"
"snive,0.000000000281194"
"snobs,0.000000135717"
"snods,0.000000000131815"
"snoek,0.0000000120116"
"snoep,0.000000000229651"
"snogs,0.0000000015852"
"snoke,0.00000000289412"
"snood,0.0000000301074"
"snook,0.0000000488337"
"snool,0.00000000101794"
"snoop,0.000000101401"
"snoot,0.000000020908"
"snore,0.000000278896"
"snort,0.000000574461"
"snots,0.00000000621042"
"snout,0.00000158137"
"snowk,0.000000000195634"
"snows,0.00000117988"
"snowy,0.00000160418"
"snubs,0.0000000524877"
"snuck,0.000000343792"
"snuff,0.00000131006"
"snugs,0.00000000987551"
"snush,0.000000000573892"
"snyes,0.000000000239628"
"soaks,0.000000201606"
"soaps,0.00000110075"
"soapy,0.000000353719"
"soare,0.0000000089686"
"soars,0.000000360012"
"soave,0.00000000952103"
"sobas,0.00000000241493"
"sober,0.00000468487"
"socas,0.00000000035764"
"soces,0.000000000200718"
"socia,0.000000049989"
"socko,0.00000000475993"
"socks,0.00000224706"
"socle,0.0000000580407"
"sodas,0.000000190965"
"soddy,0.0000000288528"
"sodic,0.000000285956"
"sodom,0.00000000438551"
"sofar,0.0000000837692"
"sofas,0.000000447563"
"softa,0.000000000907681"
"softs,0.0000000131717"
"softy,0.0000000297977"
"soger,0.00000000696642"
"soggy,0.000000425631"
"sohur,Missing[NotAvailable]"
"soils,0.0000230429"
"soily,0.00000000227499"
"sojas,0.000000000437323"
"sojus,0.000000000213004"
"sokah,0.000000000392552"
"soken,0.00000000233042"
"sokes,0.00000000845174"
"sokol,0.00000000241661"
"solah,0.0000000017809"
"solan,0.0000000150879"
"solar,0.0000180203"
"solas,0.0000000211692"
"solde,0.0000000550117"
"soldi,0.0000000635335"
"soldo,0.0000000122679"
"solds,0.0000000113862"
"soled,0.000000198391"
"solei,0.00000000241861"
"soler,0.0000000079964"
"soles,0.00000165615"
"solid,0.0000455478"
"solon,0.00000000903358"
"solos,0.000000597716"
"solum,0.000000323021"
"solus,0.000000112939"
"solve,0.0000179596"
"soman,0.0000000391231"
"somas,0.000000013311"
"sonar,0.000000732559"
"sonce,0.00000000148884"
"sonde,0.0000000813583"
"sones,0.0000000432853"
"songo,0.00000000343426"
"songs,0.0000160801"
"songy,0.00000000516962"
"sonic,0.000001156"
"sonly,0.00000000162198"
"sonne,0.000000771191"
"sonny,0.000000101729"
"sonse,0.00000000717803"
"sonsy,0.00000000554644"
"sooey,0.000000000651471"
"sooks,0.00000000328242"
"sooky,0.00000000122903"
"soole,0.00000000218307"
"sools,0.00000000130412"
"sooms,0.00000000459902"
"soops,0.00000000080918"
"soote,0.00000000863105"
"sooth,0.0000004323"
"soots,0.000000010573"
"sooty,0.000000450082"
"sophs,0.0000000336418"
"sophy,0.0000000349359"
"sopor,0.0000000168978"
"soppy,0.0000000393478"
"sopra,0.000000157333"
"soral,0.00000000657674"
"soras,0.00000000227847"
"sorbi,0.00000000691444"
"sorbo,0.00000000327956"
"sorbs,0.0000000104641"
"sorda,0.00000000213987"
"sordo,0.00000000486351"
"sords,0.00000000158174"
"sored,0.0000000469208"
"soree,0.00000000063184"
"sorel,0.00000000738389"
"sorer,0.0000000377935"
"sores,0.00000113739"
"sorex,0.00000000296626"
"sorgo,0.0000000466943"
"sorns,0.00000000176885"
"sorra,0.0000000117989"
